KOUBAI01,BAALIB,BAA010O
KOUBAI01,BAALIB,BAA015I
KOUBAI01,BAALIB,BAA015O
KOUBAI01,BAALIB,BAA020I
KOUBAI01,BAALIB,BAA020O
KOUBAI01,BAALIB,BAA030I
KOUBAI01,BAALIB,BAA030O
KOUBAI01,BAALIB,BAA040I
KOUBAI01,BAALIB,BAA040O
KOUBAI01,BAALIB,BAA050I
KOUBAI01,BAALIB,BAA050O
KOUBAI01,BAALIB,BAA055I
KOUBAI01,BAALIB,BAA055O
KOUBAI01,BAALIB,BAA060O
KOUBAI01,BAALIB,BAA060P
KOUBAI01,BAALIB,BAA060S
KOUBAI01,BAALIB,BAA070O
KOUBAI01,BAALIB,BAA070P
KOUBAI01,BAALIB,BAA070S
KOUBAI01,BAALIB,BAA080I
KOUBAI01,BAALIB,BAA080O
KOUBAI01,BAALIB,BAA090I
KOUBAI01,BAALIB,DAISUTB
KOUBAI01,BAALIB,ERRORFL
KOUBAI01,BAALIB,FILEA
KOUBAI01,BAALIB,NGTBL
KOUBAI01,BAALIB,OUTF1
KOUBAI01,BAALIB,OUTF2
KOUBAI01,BAALIB,OUTFL
KOUBAI01,BAALIB,SGCHKTB
KOUBAI01,BAALIB,SGPTB
KOUBAI01,BAALIB,TMASTER
